rel,title,title_source,family,fy_primary,n_pages,is_primary,sha256_short,sample_reason
Teaching/ECON232/2011-12/Effective Protection in the Automobile Sector - A Difference- use this one.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2011-12,59,1,eaf470c3c3ad,target_family_16ed_sanity_fail
Teaching/ECON232/2012-13/Exams/Effective Protection in the Automobile Sector - A Difference-.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2012-13,58,1,186173b85284,target_family_16ed_sanity_fail
Teaching/ECON341/2013-14/Exams/Effective Protection in the Automobile Sector - A District-Le.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2013-14,52,1,15852e8a5c9b,target_family_16ed_sanity_fail
Sources/Federal/Annual Budget Statement/2014-15/Effective Protection in the Automobile Sector - A Difference- new.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2014-15,48,1,5f723479e9ec,target_family_16ed_sanity_fail
Sources/Provincial/Gilgit-Baltistan/White Papers/2015-16/Effective Protection in the Automobile Sector A Sub Nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2015-16,74,1,74a21ddc6567,target_family_16ed_sanity_fail
Teaching/ECON232/2016-17/Exams/Effective Protection in the Automobile Sector A Difference.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2016-17,65,1,25d80ee0ad61,target_family_16ed_sanity_fail
Teaching/ECON232/2017-18/Problem Sets/Effective Protection in the Automobile Sector A Sub Nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2017-18,71,1,b2d4eaff1dfc,target_family_16ed_sanity_fail
Teaching/ECON671/2018-19/Problem Sets/Effective Protection in the Automobile Sector A Sub Nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2018-19,75,1,743197b10edf,target_family_16ed_sanity_fail
Teaching/ECON341/2019-20/Effective Protection in the Automobile Sector A Difference.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2019-20,75,1,60bf45997c51,target_family_16ed_sanity_fail
Sources/Federal/Annual Budget Statement/2020-21/Effective Protection in the Automobile Sector A Difference.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2020-21,64,1,7f0991d54daf,target_family_16ed_sanity_fail
